,REUTERS
0,EPCO.CA             
1,ATQA.CA             
2,REAC.CA             
3,NAHO.CA             
4,EG120525=CA         
5,EIUD.CA             
6,MEGM.CA             
7,EPPK.CA             
8,MIPH.CA             
9,SDTI.CA             
10,WKOL.CA             
11,INFI.CA             
12,ISMA.CA             
13,MPCO.CA             
14,SCTS.CA             
15,RAYA.CA             
16,DAPH.CA             
17,UNIT.CA             
18,AREH.CA             
19,GPPL.CA             
20,PHTV.CA             
21,NINH.CA             
22,GIHD.CA             
23,HELI.CA             
24,OBRI.CA             
25,EALR.CA             
26,KABO.CA             
27,PACH.CA             
28,RUBX.CA             
29,EGSASEC40B=CA       
30,IEEC.CA             
31,MISR.CA             
32,PTCC.CA             
33,UTOP.CA             
34,CAPSEC2P2C=CA       
35,EGGLOB1P1C=CA       
36,AMAN1P1B=CA         
37,MAAL.CA             
38,EGGLOB2P1A=CA       
39,CAPSEC1P3D=CA       
40,TAMSEC2P1A=CA       
41,KASABF.CA           
42,EGETSC04C=CA        
43,DRVFN1P1B=CA        
44,TAMSEC01C=CA        
45,OLFI.CA             
46,CNFN.CA             
47,ACAMD.CA            
48,ISMQ.CA             
49,RMDA.CA             
50,EGECSE10B=CA        
51,EGFIGRSC2P5A=CA     
52,EGFIGRSC2P7A=CA     
53,AURS01B=CA          
54,JUFO.CA             
55,EFID.CA             
56,MFSC.CA             
57,QNBA.CA             
58,ELEC.CA             
59,CSAG.CA             
60,ALCN.CA             
61,EGSA.CA             
62,ORAS.CA             
63,ARAB.CA             
64,SAUD.CA             
65,EG120727=CA         
66,POUL.CA             
67,ZMID.CA             
68,DCRC.CA             
69,UEGC.CA             
70,HDBK.CA             
71,AMER.CA             
72,AIVC.CA             
73,PHDC.CA             
74,ASCM.CA             
75,AALR.CA             
76,AIH.CA              
77,SKPC.CA             
78,ELKA.CA             
79,RTVC.CA             
80,ORHD.CA             
81,COPR.CA             
82,CIRA.CA             
83,EGX30ETF.CA         
84,EGSASEC36C=CA       
85,SPHT.CA             
86,AFMC.CA             
87,SCFM.CA             
88,VERT.CA             
89,DGTZ.CA             
90,FTNS.CA             
91,ARPI_r1.CA          
92,ATLC.CA             
93,BINV.CA             
94,COMI.CA             
95,EGAL.CA             
96,ELWA.CA             
97,EG120424=CA         
98,ROTO.CA             
99,EGTS.CA             
100,MNHD.CA             
101,BIDI.CA             
102,ARPI.CA             
103,IBCT.CA             
104,EG122141=CA         
105,EGREHB5P1B=CA       
106,EGECSE09C=CA        
107,EGREHB2P1B=CA       
108,EG120929=CA         
109,MKIT.CA             
110,FIRE.CA             
111,SCEM.CA             
112,MBSC.CA             
113,SUGR.CA             
114,EXPA.CA             
115,MOIN.CA             
116,HRHO.CA             
117,NHPS.CA             
118,CAPSEC2P1C=CA       
119,EGETSC05C=CA        
120,CCAP.CA             
121,SWDY.CA             
122,EAST.CA             
123,ABUK.CA             
124,ZEOT.CA             
125,MPCI.CA             
126,EASB.CA             
127,CICH.CA             
128,PRMH.CA             
129,ASPI.CA             
130,OCPH.CA             
131,UEFM.CA             
132,WCDF.CA             
133,SPIN.CA             
134,ORWE.CA             
135,ADCI.CA             
136,CPCI.CA             
137,PRCL.CA             
138,LCSW.CA             
139,OCDI.CA             
140,SEIG.CA             
141,AMIA.CA             
142,ICID.CA             
143,ANFI.CA             
144,EBSC.CA             
145,IRAX.CA             
146,ALUM.CA             
147,DOMT.CA             
148,AMES.CA             
149,CAED.CA             
150,MPRC.CA             
151,TRTO.CA             
152,NEDA.CA             
153,SMFR.CA             
154,CIEB.CA             
155,ENGC.CA             
156,EEII.CA             
157,POCO.CA             
158,ETRS.CA             
159,MOIL.CA             
160,DCCC.CA             
161,UASG.CA             
162,ETEL.CA             
163,RACC.CA             
164,EMFD.CA             
165,MFPC.CA             
166,SLTD.CA             
167,EGGOSEA2=CA         
168,EG121434=CA         
169,SAIB.CA             
170,ADIB.CA             
171,EGBE.CA             
172,ACRO.CA             
173,GRCA.CA             
174,IDRE.CA             
175,IFAP.CA             
176,CCRS.CA             
177,APSW.CA             
178,ICLE.CA             
179,GGCC.CA             
180,NCCW.CA             
181,EDBM.CA             
182,CANA.CA             
183,FAITA.CA            
184,ALMF.CA             
185,EGFIGRSC01P2C=CA    
186,EGETSC06C=CA        
187,MOED.CA             
188,TAMSEC1P1B=CA       
189,TAMSEC1P1C=CA       
190,EGALTW03A=CA        
191,MMAT.CA             
192,CCAPP.CA            
193,MEPA.CA             
194,EG121030=CA         
195,GMCI.CA             
196,SIMO.CA             
197,RAKT.CA             
198,PHAR.CA             
199,BIOC.CA             
200,UNIP.CA             
201,MICH.CA             
202,EGCH.CA             
203,AXPH.CA             
204,NIPH.CA             
205,ELNA.CA             
206,ARVA.CA             
207,GBCO.CA             
208,TMGH.CA             
209,EG120626=CA         
210,BTFH.CA             
211,NDRL.CA.            
212,EOSB.CA             
213,DTPP.CA             
214,DSCW.CA             
215,EG120323=CA         
216,AMOC.CA             
217,MILS.CA             
218,EDFM.CA             
219,GSSC.CA             
220,CEFM.CA             
221,COSG.CA             
222,GTWL.CA             
223,ACGC.CA             
224,ADRI.CA             
225,CTSB.CA             
226,AMPI.CA             
227,SEIGA.CA            
228,ODIN.CA             
229,IRON.CA             
230,MHOT.CA             
231,ADPC.CA             
232,MTIE.CA             
233,CAPSEC07C=CA        
234,CAPSEC3P1A=CA       
235,CAPSEC3P1B=CA       
236,CAPSEC3P1C=CA       
237,CAPSEC07A=CA        
238,EGSASEC40A=CA       
239,EGSASEC40C=CA       
240,EGREHB10C=CA        
241,EGREHB3P1B=CA       
242,EGREHB3P1C=CA       
243,EGECSE11B=CA        
244,EGECSE11C=CA        
245,EGECSE11D=CA        
246,SNFI.CA             
247,DIFC.CA             
248,NCGC.CA             
249,APPC.CA             
250,SMPP.CA             
251,SUCE.CA             
252,TORA.CA             
253,ALEX.CA             
254,WATP.CA             
255,ESAC.CA             
256,NBKE.CA             
257,HCFI.CA             
258,EITP.CA             
259,RMTV.CA             
260,GTHE.CA             
261,LUTS.CA             
262,FNAR.CA             
263,MBEN.CA             
264,TRST.CA             
265,FERC.CA             
266,INEG.CA             
267,ICMI.CA             
268,UPMS.CA             
269,GETO.CA             
270,EGWA.CA             
271,ICFC.CA             
272,RKAZ.CA             
273,BIGP.CA             
274,CAPSEC2P2B=CA       
275,CAPSEC2P2D=CA       
276,EGFIGRSC2P4A=CA     
277,SDSC01P1B=CA        
278,EFIH.CA             
279,KRDI.CA             
280,EGGLOB1P1B=CA       
281,TAMSEC1P2A=CA       
282,TAMSEC1P2B=CA       
283,TAMSEC1P2C=CA       
284,EGHRSEC3P2=CA       
285,EGGLOB3P1A=CA       
286,EGGLOB3P1B=CA       
287,EGGLOB3P1C=CA       
288,EGFIGRSC2P4B=CA     
289,EGFIGRSC2P4C=CA     
290,AMAN1P1A=CA         
291,AMAN1P1C=CA         
292,SPMD_r2.CA          
293,EGHRSEC2P4A=CA      
294,EGHRSEC2P4B=CA      
295,EGHRSEC2P4C=CA      
296,EGHRSEC2P4D=CA      
297,PRDC.CA             
298,GDWA.CA             
299,EG122040=CA         
300,EGHRSEC2P3A=CA      
301,EGHRSEC2P3B=CA      
302,EGHRSEC2P3C=CA      
303,EGECSE1P1B=CA       
304,EGECSE1P1C=CA       
305,EGFIGRSC1P6A=CA     
306,EGFIGRSC1P6B=CA     
307,EGFIGRSC1P6C=CA     
308,CAPSEC07B=CA        
309,EGFIGRSC2P3B=CA     
310,EGFIGRSC2P3C=CA     
311,EGFIGRSC2P3D=CA     
312,EGSRSK04=CA         
313,EGGLOB2P1B=CA       
314,EGGLOB2P1C=CA       
315,EGGLOB2P1D=CA       
316,EGETSC07A=CA        
317,EGETSC07B=CA        
318,EGETSC07C=CA        
319,EGETSC07D=CA        
320,EGETSC07H=CA        
321,CAPSEC1P3A=CA       
322,CAPSEC1P3B=CA       
323,CAPSEC1P3C=CA       
324,EGFIGRSC3P3A=CA     
325,EGFIGRSC3P3B=CA     
326,EGFIGRSC3P3C=CA     
327,EGFIGRSC1P7A=CA     
328,EGFIGRSC1P3B=CA     
329,EGFIGRSC1P3C=CA     
330,EGFIGRSC1P5B=CA     
331,EGFIGRSC1P5C=CA     
332,EGHRSL1P1A=CA       
333,EGHRSL1P1B=CA       
334,TAMSEC2P1B=CA       
335,TAMSEC2P1C=CA       
336,TAMSEC2P1D=CA       
337,TAMSEC2P1H=CA       
338,EGSASEC39A=CA       
339,EGSASEC39B=CA       
340,EGSASEC39C=CA       
341,EGFIGRSC1P7B=CA     
342,KZPC_r2.CA          
343,CAPSEC2P2A=CA       
344,EGFIGRSC01P2B=CA    
345,EGSASEC30C=CA       
346,CAPSEC01C=CA        
347,EGHRMSK02=CA        
348,EGSRSK02=CA         
349,EGREF.CA            
350,EGETSC02H=CA        
351,EGECSE08C=CA        
352,EGECSE08D=CA        
353,EGSASEC32C=CA       
354,EGETSC04A=CA        
355,EGETSC04B=CA        
356,TALM.CA             
357,EGALTW02B=CA        
358,EGALTW02C=CA        
359,CAPSEC1P1=CA        
360,TWRIQSEC06B=CA      
361,TWRIQSEC06C=CA      
362,EGSRSK03=CA         
363,CAPSEC1P2D=CA       
364,DRVFN1P1A=CA        
365,EGHRSEC1P4A=CA      
366,EGHRSEC1P4B=CA      
367,EGHRSEC1P4C=CA      
368,EGHRSEC1P4D=CA      
369,EGHRSEC1P4H=CA      
370,EGHRSEC1P4W=CA      
371,EGHRSEC1P4Z=CA      
372,EGHRSEC1P4E=CA      
373,EGREHB5P1A=CA       
374,EGREHB5P1C=CA       
375,TAMSEC01B=CA        
376,EGFIGRSC2P3A=CA     
377,EGETSC03=CA         
378,EG121232-CA         
379,ARCC.CA             
380,CLHO.CA             
381,EG121535=CA         
382,EG121636=CA         
383,EGSASEC31C=CA       
384,EGSASEC33C=CA       
385,TWRIQSEC04C=CA      
386,EGSRSK01=CA         
387,OFH.CA              
388,EGREHB09C=CA        
389,BQDC.CA             
390,EG121939=CA         
391,CAPSEC05B=CA        
392,CAPSEC05C=CA        
393,CAPSEC06B=CA        
394,CAPSEC06C=CA        
395,MCRO.CA             
396,EGREHB11B=CA        
397,EGREHB11C=CA        
398,EKHOA.CA            
399,ISPH.CA             
400,EGSASEC34B=CA       
401,EGSASEC34C=CA       
402,TWRIQSEC05B=CA      
403,TWRIQSEC05C=CA      
404,IDHC.CA             
405,TANM.CA             
406,EGECSE09B=CA        
407,EGECSE10C=CA        
408,EGECSE10D=CA        
409,EG121737=CA         
410,FWRY.CA             
411,EG121838=CA         
412,SPMD.CA             
413,EGREHB2P1C=CA       
414,EGSASEC35C=CA       
415,EGSASEC35D=CA       
416,EGALTW03B=CA        
417,EGALTW03C=CA        
418,PHAR_r1.CA          
419,EGFIGRSC03A=CA      
420,EGFIGRSC03B=CA      
421,EGFIGRSC03C=CA      
422,EGFIGRSC2P5B=CA     
423,EGFIGRSC2P5C=CA     
424,EGETSC1P1A=CA       
425,EGETSC1P1B=CA       
426,EGETSC1P1C=CA       
427,EGETSC1P1D=CA       
428,EGETSC1P1H=CA       
429,EGETSC1P1W=CA       
430,ACAP.CA             
431,EGFIGRSC2P7B=CA     
432,EGHRSEC4P2=CA       
433,ADPC_r3.CA          
434,BTFH_r3.CA          
435,TAQA.CA             
436,EXPA_r3.CA          
437,EGETSC1P2A=CA       
438,EGETSC1P2B=CA       
439,EGETSC1P2C=CA       
440,EGHRSEC2P4H=CA      
441,EGHRSEC2P4W=CA      
442,AURS01A=CA          
443,AURS01C=CA          
444,EGHRMC1P2=CA        
445,OIH.CA              
446,AIFI.CA             
447,EG121131=CA         
448,EG120828=CA         
449,GOCO.CA             
450,SIPC.CA             
451,EG121333=CA         
452,MCQE.CA             
453,SVCE.CA             
454,AJWA.CA             
455,SNFC.CA             
456,FAIT.CA             
457,RREI.CA             
458,AFDI.CA             
459,KWIN.CA             
460,EKHO.CA             
461,DEIN.CA             
462,ELSH.CA             
463,TWRIQSEC08C=CA      
464,TWRIQSEC08D=CA      
465,EGREHB4P1B=CA       
466,EGREHB4P1C=CA       
467,CAPSEC2P1B=CA       
468,CAPSEC2P1D=CA       
469,EGHRSEC1P3B=CA      
470,EGHRSEC1P3C=CA      
471,EGFIGRSC1P4B=CA     
472,EGFIGRSC1P4C=CA     
473,EGETSC06B=CA        
474,TWRIQSEC07D=CA      
475,TWRIQSEC07H=CA      
476,EGREHB1P1B=CA       
477,EGREHB1P1C=CA       
478,EGETSC05D=CA        
479,EGSASEC36D=CA       
480,EGSASEC36B=CA       
481,EHDR.CA             
482,MENA.CA             
483,MOSC.CA             
484,KZPC.CA             
485,EFIC.CA             
486,EGAS.CA             
487,ECAP.CA             
488,CERA.CA             
489,ESRS.CA             
